Codigo materia,Materia,Tipo
NTP-611,Nuevas Tendencias de la Publicidad,Teórica
VCD-611,Ventas y Conversiones Digitales,Teórica
PAP-611,Psicología Aplicada a la Publicidad,Teórica
AME-611,Asesoramiento y Mentorización,Teórica
CEM.611,Competencias Emprendedoras,Teórica
TIE-611,Taller de Incubadora de Empresas,Numérica
AIM-611,Auditoria impositiva ,Numérica
DAD-611,Derecho Administrativo,Teórica
DEL-611,Derecho electoral ,Teórica
CCO-611,Creatividad de contenidos,Teórica
EEP-611,Estrategia Empresarial,Teórica
IND - 611,Innovación y Negocio digitales,Teórica
aud-612,Auditoria II,Numérica
nmc-611,Negociación y Manejo de Conflictos,Teórica
ACT - 611,Análisis y Contabilidad Tributaria ,Numérica
PTR - 611,Planificación Tributaria,Numérica
ARB-611,Arbitraje (DER),Teórica
DCI-615,Derecho Civil V (sucesiones) (DER),Teórica
PAU-612,Producción Audiovisual II (PUB),Teórica
MER-611,Merchandising,Teórica
GME-611,Gestión de Medios (PUB),Teórica
IDE-611,Innovación y Desarrollo (PUB),Teórica
PII-612,Proyecto Integrador Intermedio II (DER),P. Integrador
PII-612,Proyecto Integrador Intermedio II (ICO),P. Integrador
PII-612,Proyecto Integrador Intermedio II (ADM),P. Integrador
PII-612,Proyecto Integrador Intermedio II (CPU),P. Integrador
PII-612,Proyecto Integrador Intermedio II (PYM),P. Integrador
ACI-611,Análisis y Contabilidad Internacional (M2) (CPU),Teórica
AGF-611,Asesoría y Gestión Financiera (M2) (CPU),Numérica
FCO-611,Finanzas Corporativas (M2) (CPU),Numérica
IND-611,Innovación y Negocio digitales (M1) (ICO),Teórica
MVA-511,Mercado de valores (CPU),Teórica
PAD-611,Procedimientos Aduaneros (PAD),Teórica
DTT-611,Derecho de Transporte y Telecomunicaciones (DER),Teórica
DAT-611,Derecho Aduanero y Tributario (DER),Teórica
NTM-611,Nuevas Tendencias del Marketing (M2) (PUB),Teórica
CCO-612,Comportamiento del Consumidor II (M2) (PUB),Teórica
MDI-611,Marketing Digital (M2) (PUB),Teórica
CIN-611,Comercio Internacional (ICO-ADM),Teórica
GTH-612,Gestión de Talento Humano II (ADM),Teórica
PEP-511,Preparación y Evaluación de Proyectos (CPU-ADM-ICO),Numérica
SIG-611,"Sistemas Integrados de Gestión de la Calidad, Seguridad y Medio Ambiente (ICO)",Teórica
TPM-411,Teoría y Política Monetaria (CPU),Teórica
MIN-711,Marketing Internacional (M1) (ICO),Teórica
NIN-611,Negocios Internacionales (M1) (ICO),Teórica
PFO-711,Psicología Forense,Teórica
